???????,?????????,????,???????2,??????????????3,?????????????4
C2483,?????,?????,39.72,134,1425
C2483,?????,?????,39.72,15,1425
C2483,?????,?????,51.93,385,1425
C2483,?????,?????,51.93,15,1425
C2483,?????,?????,51.93,41,1425
C2483,?????,?????,51.95,89,1425
C2483,?????,?????,51.95,135,1425
C2483,?????,?????,59.88,86,1425
C2515,?????,?????,33.48,276,624
C2515,?????,?????,39.6,60,624
C2515,?????,?????,39.6,20,624
C2515,?????,?????,46.9,38,624
C2515,?????,?????,46.9,19,624
C2515,?????,?????,51.97,106,624
C2515,?????,?????,51.97,26,624
C1407,?????,??????????,30.95,288,1285
C1407,?????,??????????,30.99,68,1285
C1407,?????,??????????,30.99,34,1285
C1407,?????,??????????,41.11,148,1285
C1407,?????,??????????,41.39,74,1285
C1407,?????,??????????,41.58,70,1285
C1407,?????,??????????,41.58,70,1285
C1407,?????,??????????,46.36,170,1285
C1407,?????,??????????,46.36,170,1285
C1407,?????,??????????,51.24,62,1285
C1407,?????,??????????,51.24,62,1285
C1945,?????,???,39.72,120,734
C1945,?????,???,39.72,120,734
C1945,?????,???,51.93,207,734
C1945,?????,???,51.93,96,734
C1945,?????,???,59.88,160,734
C1945,?????,???,59.88,52,734
C1470,?????,??????,36.55,228,645
C1470,?????,??????,36.55,26,645
C1470,?????,??????,46.9,196,645
C1470,?????,??????,51.93,246,645
C1898,?????,??????,36.55,230,517
C1898,?????,??????,36.55,28,517
C1898,?????,??????,36.62,13,517
C1898,?????,??????,46.9,194,517
C1898,?????,??????,46.9,15,517
C1898,?????,??????,51.93,86,517
C1244,?????,???,39.62,275,1483
C1244,?????,???,39.62,126,1483
C1244,?????,???,39.62,168,1483
C1244,?????,???,39.72,219,1483
C1244,?????,???,46.73,98,1483
C1244,?????,???,46.81,144,1483
C1244,?????,???,46.81,76,1483
C1244,?????,???,46.81,76,1483
C1244,?????,???,46.95,75,1483
C1244,?????,???,46.95,75,1483
C1244,?????,???,51.78,232,1483
C1244,?????,???,51.78,83,1483
C1244,?????,???,51.95,75,1483
C1171,?????,??????????,33.38,190,634
C1171,?????,??????????,39.46,106,634
C1171,?????,??????????,39.46,43,634
C1171,?????,??????????,39.46,15,634
C1171,?????,??????????,46.66,38,634
C1171,?????,??????????,46.66,15,634
C1171,?????,??????????,46.87,46,634
C1171,?????,??????????,46.87,23,634
C1171,?????,??????????,46.88,78,634
C1171,?????,??????????,46.88,30,634
C1171,?????,??????????,51.96,20,634
C1171,?????,??????????,51.96,20,634
C2073,?????,??????,39.63,94,288
C2073,?????,??????,39.63,74,288
C2073,?????,??????,46.9,97,288
C2073,?????,??????,46.9,46,288
C2073,?????,??????,46.96,10,288
C2073,?????,??????,59.89,40,288
C2513,?????,?????????,51.88,517,530
C2513,?????,?????????,51.88,179,530
C2513,?????,?????????,51.93,58,530
C1936,?????,?????????,51.88,120,168
C1936,?????,?????????,51.88,60,168
C1936,?????,?????????,51.88,20,168
C1936,?????,?????????,51.93,40,168
C2049,?????,??????,51.49,178,631
C2049,?????,??????,51.95,360,631
C2049,?????,??????,59.64,150,631
C2202,?????,??????,37.67,89,222
C2202,?????,??????,42.9,354,222
C2202,?????,??????,49.44,180,222
C1925,?????,??????,26.37,298,117
C1925,?????,??????,31.32,298,117
C1925,??,??????,32.1,1,117
C1925,??,??????,32.1,1,117
C1925,??,??????,32.1,1,117
C1925,??,??????,72.16,1,117
C2576,?????,?????,46.9,313,296
C2576,?????,?????,59.88,92,296
C1312,?????,???????,39.72,60,527
C1312,?????,???????,39.98,89,527
C1312,?????,???????,41.55,225,527
C1312,?????,???????,46.9,143,527
C1874,?????,???????,26.37,294,97
C1874,?????,???????,26.37,149,97
C1874,?????,???????,31.32,149,97
C1874,??,???????,12.62,1,97
C1874,??,???????,17.4,1,97
C1874,??,???????,17.4,1,97
C1874,??,???????,22.89,1,97
C1874,??,???????,23.13,1,97
C1874,??,???????,23.13,1,97
C1874,??,???????,23.25,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,27.75,1,97
C1874,??,???????,28.19,1,97
C1874,??,???????,34.8,1,97
C1874,??,???????,34.8,1,97
C1874,??,???????,42.35,1,97
C1874,??,???????,42.4,1,97
C1874,??,???????,49.37,1,97
C1874,??,???????,55.17,1,97
C1874,??,???????,55.17,1,97
C1874,??,???????,55.5,1,97
C2650,?????,?•ÎÅç????,36.44,557,616
C2650,?????,?•ÎÅç????,45.09,20,616
C2650,?????,?•ÎÅç????,45.32,298,616
C2416,?????,?????,26.34,360,154
C2416,?????,?????,30.48,192,154
C2416,??,?????,19.69,1,154
C2416,??,?????,27.12,1,154
C2416,??,?????,32.54,1,154
C2416,??,?????,36.43,1,154
C2416,??,?????,46.89,1,154
C2416,??,?????,49.99,1,154
C2416,??,?????,51.14,1,154
C2416,??,?????,317.17,1,154
C2013,?????,?????,36.02,90,509
C2013,?????,?????,36.38,237,509
C2013,?????,?????,45.88,267,509
C1424,?????,??????????,39.99,268,517
C1424,?????,??????????,49.95,119,517
C1424,?????,??????????,49.95,237,517
C2100,?????,??????????,51.51,46,736
C2100,?????,??????????,51.59,35,736
C2100,?????,??????????,51.9,589,736
C2100,?????,??????????,59.91,118,736
C2100,?????,??????????,59.94,46,736
C2100,?????,??????????,59.99,46,736
C2621,?????,??????????,26.37,890,277
C2621,?????,??????????,26.37,141,277
C2621,?????,??????????,26.37,20,277
C2621,?????,??????????,26.37,20,277
C2621,?????,??????????,31.32,298,277
C2621,?????,??????????,52.74,9,277
C2621,?????,??????????,52.74,4,277
C2621,?????,??????????,52.74,4,277
C2621,??,??????????,31.84,1,277
C2621,??,??????????,31.84,1,277
C2621,??,??????????,31.84,1,277
C2621,??,??????????,31.84,1,277
C2621,??,??????????,31.84,1,277
C2621,??,??????????,31.84,1,277
C2621,??,??????????,31.84,1,277
C2621,??,??????????,31.84,1,277
C2621,??,??????????,63.68,1,277
C2621,??,??????????,137.49,1,277
C2520,?????,??????????,39.69,960,420
C2319,?????,??????????,51.86,98,548
C2319,?????,??????????,51.91,83,548
C2319,?????,??????????,51.96,157,548
C2319,?????,??????????,59.57,267,548
C1616,?????,??????????,26.37,588,407
C1616,?????,??????????,31.32,450,407
C1616,?????,??????????,40.32,450,407
C1616,??,??????????,38,1,407
C1616,??,??????????,38,1,407
C1616,??,??????????,37.26,1,407
C1616,??,??????????,37.41,1,407
C1616,??,??????????,37.41,1,407
C1616,??,??????????,37.41,1,407
C1616,??,??????????,37.49,1,407
C1616,??,??????????,37.95,1,407
C1616,??,??????????,37.95,1,407
C1616,??,??????????,38.04,1,407
C1616,??,??????????,39.33,1,407
C1616,??,??????????,39.33,1,407
C1616,??,??????????,39.33,1,407
C1616,??,??????????,54.51,1,407
C1616,??,??????????,54.61,1,407
C1616,??,??????????,54.91,1,407
C1616,??,??????????,75.98,1,407
C1616,??,??????????,109.11,1,407
C1616,??,??????????,583.4,1,407
C1704,?????,??????????,39.3,204,162
C1704,?????,??????????,39.69,420,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,31.84,1,162
C1704,??,??????????,126.65,1,162
C2258,?????,??????????,26.37,588,287
C2258,?????,??????????,31.32,180,287
C2258,?????,??????????,40.32,180,287
C2258,??,??????????,19,1,287
C2258,??,??????????,14.1,1,287
C2258,??,??????????,19.31,1,287
C2258,??,??????????,21.19,1,287
C2258,??,??????????,21.19,1,287
C2258,??,??????????,22.95,1,287
C2258,??,??????????,23.4,1,287
C2258,??,??????????,23.4,1,287
C2258,??,??????????,23.4,1,287
C2258,??,??????????,23.4,1,287
C2258,??,??????????,27.23,1,287
C2258,??,??????????,31.85,1,287
C2258,??,??????????,32.29,1,287
C2258,??,??????????,35.13,1,287
C2258,??,??????????,36.47,1,287
C2258,??,??????????,50.08,1,287
C2258,??,??????????,240.22,1,287
