name,spaces,address,bus,subway
" 태양
",656,"경기도 오산시 갈곶동 218
",,
" 오산빌리지
",656,"경기도 오산시 고현동 37
",,
" 갈곶피오레
",341,"경기도 오산시 갈곶동 715
",,
" 오산고현아이파크
",811,"경기도 오산시 고현동 270
",,
" 무궁화
",656,"경기도 오산시 궐동 69-3
",,
" 갈곶피오레
",341,"경기도 오산시 갈곶동 715
",,
"주상복합 센트하임
",383,"경기도 오산시 궐동 681-1
",,
" 수청주공
",656,"경기도 오산시 수청동 11
",,
" 현대2차
",107,"경기도 오산시 은계동 91-1
",,
" 죽미마을8단지휴먼시아
",733,"경기도 오산시 금암동 483
",,
" 죽미마을휴먼시아10단지
","1,033","경기도 오산시 금암동 485
",,
" 경일
",656,"경기도 오산시 오산동 849-2
",,
"주상복합 에이스펠리체
",22,"경기도 오산시 오산동 388-5
",,
" 오산운암주공1단지
","1,781","경기도 오산시 부산동 778-1
",,
" 엘림피렌체(522-5번지)
",9,"경기도 오산시 오산동 522-5
",,
"주상복합 오산렉스빌
",30,"경기도 오산시 오산동 881-8
",,
" 희망
",656,"경기도 오산시 오산동 55-4
",,
" 미광
",656,"경기도 오산시 원동 770-31
",,
" 오산세교지구호반베르디움(D1블럭)
",994,"경기도 오산시 내삼미동 899
",,
"오피스텔 궐동
",14,"경기도 오산시 궐동 647-4
",,
"오피스텔 엘림피렌체(508-11번지)
",6,"경기도 오산시 오산동 508-11
",,
"오피스텔 웰리스타워
",41,"경기도 오산시 오산동 925-13
",,
"오피스텔 엘림피렌체(508-11번지)
",6,"경기도 오산시 오산동 508-11
",,
"오피스텔 오산파크스퀘어
",47,"경기도 오산시 원동 841
",,
" 금성
",656,"경기도 오산시 오산동 447-6
",,
"오피스텔 청학웰스톤
",41,"경기도 오산시 청학동 5
",,
" 오산세교자이
","1,210","경기도 오산시 내삼미동 895 (오산세교택지개발지구 B5블록)
",,
" 오산시티자이1단지
","1,326","경기도 오산시 부산동 495번지 외 52필지
",,
